Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
EQR,Common Stock,Equity Residential,"Equity Residential (EQR) is a prominent publicly traded real estate investment trust (REIT) specializing in the acquisition, development, and management of high-quality apartment communities throughout the United States. The company boasts a diversified portfolio located in strategic urban and suburban markets, capitalizing on favorable demographic trends that fuel robust rental demand. Focused on maximizing shareholder returns, Equity Residential emphasizes operational excellence, sustainability, and enhanced tenant experiences, solidifying its position as a leading player in the multifamily housing sector.",906107,NYSE,USD,USA,REAL ESTATE,REIT - RESIDENTIAL,"TWO NORTH RIVERSIDE PLAZA, CHICAGO, IL, UNITED STATES, 60606-2609",https://www.equityapartments.com,December,2025-09-30,23245974000,1877712000,19.55,8.15,29.08,2.753,0.0464,3.04,8.11,0.376,0.29,0.0256,0.104,3078827000,1939968000,3.04,1.009,0.046,71.15,4,7,15,0,0,19.55,43.48,7.55,2.038,10.14,12.23,0.763,75.25,58.19,62.71,66.98,380475000,342568000,0.534,94.476,2025-10-10,2025-09-25
ERIE,Common Stock,Erie Indemnity Company,"Erie Indemnity Company, headquartered in Erie, Pennsylvania, acts as the administrative agent for the Erie Insurance Exchange, overseeing the management and distribution of a diverse portfolio of insurance products across the United States. The company plays an integral role within the Erie Insurance Group, which encompasses a wide range of offerings, including property, casualty, and life insurance. Renowned for its commitment to exceptional customer service and active community engagement, Erie Indemnity is well-equipped to leverage ongoing demand for innovative insurance solutions amidst evolving market conditions, positioning itself as a stable player in the insurance sector.",922621,NASDAQ,USD,USA,FINANCIAL SERVICES,INSURANCE BROKERS,"100 ERIE INSURANCE PLACE, ERIE, PA, UNITED STATES, 16530",https://www.erieinsurance.com,December,2025-09-30,15010842000,814471000,23.13,3.05,44.16,5.46,0.019,12.39,77.27,0.16,0.201,0.152,0.304,4040325000,726780000,12.39,0.144,0.067,115,0,1,0,0,0,23.13,-,3.715,6.51,3.5,-,0.386,451.6,276.91,312.91,360.96,46189100,25126800,45.487,51.237,2025-10-21,2025-10-06
ESS,Common Stock,Essex Property Trust Inc,"Essex Property Trust Inc. is a leading publicly traded real estate investment trust (REIT) focused on the acquisition, development, and management of high-quality multifamily residential properties primarily in key West Coast markets such as California and Washington. The company's strategic emphasis on urban and coastal locations allows it to capitalize on favorable demographic trends and strong rental demand. Renowned for its innovative approach and commitment to sustainability, Essex prioritizes tenant satisfaction while managing a diverse and resilient portfolio. Through a disciplined capital allocation strategy and robust operational capabilities, Essex is positioned to generate consistent value and growth for its investors in the competitive multifamily housing landscape.",920522,NYSE,USD,USA,REAL ESTATE,REIT - RESIDENTIAL,"1100 PARK PLACE, SAN MATEO, CA, UNITED STATES, 94403",https://www.essexapartmenthomes.com,December,2025-09-30,17516456000,1233804000,19.27,7.39,87.44,10.16,0.0401,13.21,29.79,0.442,0.338,0.0306,0.16,1916711000,1316839000,13.21,0.389,0.062,287.71,4,5,16,1,1,19.27,42.19,9.14,2.901,12.3,12.9,0.733,307.81,239.32,261.46,277.38,64404000,63799000,1.163,101.606,2025-10-15,2025-09-30
EL,Common Stock,Estee Lauder Companies Inc,"The Estee Lauder Companies Inc. is a premier American multinational corporation specializing in high-quality skincare, makeup, fragrance, and hair care products, with a substantial portfolio of prestigious brands. Based in Midtown Manhattan, Estee Lauder effectively harnesses a comprehensive global distribution strategy that integrates cutting-edge digital commerce with established retail channels to enhance market penetration and customer loyalty. The company’s unwavering dedication to innovation and sustainable practices not only sets it apart in the dynamic beauty industry but also positions it as a compelling investment opportunity for institutional investors looking to capitalize on growth within the luxury consumer goods sector.",1001250,NYSE,USD,USA,CONSUMER DEFENSIVE,HOUSEHOLD & PERSONAL PRODUCTS,"767 FIFTH AVENUE, NEW YORK, NY, UNITED STATES, 10153",https://www.elcompanies.com,June,2025-09-30,32403593000,2072000000,None,1.795,10.79,1.4,0.0156,-2.54,40.07,-0.0644,0.0727,0.0385,-0.207,14446000000,10715000000,-2.54,-0.516,0.036,101.87,4,5,17,0,0,-,45.45,2.243,8.33,2.742,94.08,1.174,104.53,47.94,91.63,78.25,245853000,244948000,1.540,89.081,2025-12-15,2025-11-28
EG,Common Stock,Everest Group Ltd,"Everest Group Ltd. is a prominent provider of reinsurance and insurance solutions, headquartered in Hamilton, Bermuda, with operations spanning the United States and numerous international markets. Capitalizing on its extensive industry expertise and strong capital foundation, the company delivers innovative risk management solutions tailored to meet client needs. With a strategic focus on forging valuable partnerships and offering a diverse product portfolio, Everest Group is strategically positioned to adapt to the evolving insurance landscape and seize emerging growth opportunities.",1095073,NYSE,USD,USA,FINANCIAL SERVICES,INSURANCE - REINSURANCE,"SEON PLACE, HAMILTON, BERMUDA, HM 19",https://www.everestglobal.com,December,2025-09-30,13747396000,None,24.27,-50,366.07,8,0.0244,13.44,421.38,0.0312,0.0773,0.0075,0.036,17677001000,810000000,13.44,-0.484,-0.009,374.21,3,3,9,0,0,24.27,5.56,0.778,0.894,0.902,-,0.379,385.41,302.44,339.05,342.39,41978100,31578400,1.461,99.576,2025-12-12,2025-11-26
EVRG,Common Stock,"Evergy, Inc.","Evergy, Inc. is a premier investor-owned utility based in the Midwest, delivering reliable electric service to approximately 1.6 million customers in Kansas and Missouri. Born from the merger of Westar Energy and Great Plains Energy, Evergy is dedicated to advancing the clean energy transition through innovative initiatives aimed at reducing carbon emissions and enhancing its infrastructure. The company emphasizes a diverse energy portfolio that reflects its commitment to sustainability, environmental responsibility, and the economic growth of the communities it serves, all while striving to provide long-term value for its shareholders.",1711269,NASDAQ,USD,USA,UTILITIES,UTILITIES - REGULATED ELECTRIC,"1200 MAIN STREET, KANSAS CITY, MO, UNITED STATES, 64105",https://investors.evergy.com,December,2025-09-30,17604475000,2709500000,20.95,3.055,44.7,2.67,0.035,3.65,25.52,0.144,0.362,0.0287,0.0845,5878800000,3087700000,3.65,0.005,-0.001,84.32,2,7,3,0,1,20.95,17.79,2.995,1.708,5.49,11.94,0.635,79.32,57.93,75.71,70.11,230214000,229015000,0.166,95.126,2025-12-19,2025-11-21
ES,Common Stock,Eversource Energy,"Eversource Energy (ES) is a leading publicly traded utility company based in Hartford, Connecticut, and Boston, Massachusetts, serving around 4 million customers across Connecticut, Massachusetts, and New Hampshire. As a prominent player in the energy sector, Eversource focuses on the transmission and distribution of electricity and natural gas, while maintaining a strong emphasis on sustainability and innovation. The company is dedicated to enhancing energy efficiency and expanding its renewable energy portfolio, aligning with global efforts to transition towards a cleaner energy landscape. Strategic investments in infrastructure and cutting-edge technology further solidify Eversource's position as a critical contributor to a sustainable energy future.",72741,NYSE,USD,USA,UTILITIES,UTILITIES - REGULATED ELECTRIC,"300 CADWELL DRIVE, SPRINGFIELD, MA, UNITED STATES, 01104",https://www.eversource.com,December,2025-09-30,27647689000,4557480000,20.25,2.443,42.73,2.973,0.0403,3.62,35.67,0.102,0.203,0.0314,0.0861,13148536000,7150917000,3.62,0.008,0.051,75.6,0,8,7,1,2,20.25,14.53,2.103,1.725,4.352,11.16,0.759,75.25,51.06,70.78,64.62,375189000,374300000,0.182,86.619,2025-09-30,2025-09-22
EXC,Common Stock,Exelon Corporation,"Exelon Corporation (Ticker: EXC) is a leading American utility based in Chicago, Illinois, recognized for its extensive portfolio of clean energy resources including nuclear, solar, and wind generation. As one of the largest energy providers in the United States, Exelon serves millions of customers while prioritizing sustainability and grid resilience. The company is at the forefront of the transition to a sustainable energy future and is committed to innovative solutions and regulatory compliance, positioning itself to deliver long-term value for institutional investors in an evolving energy landscape.",1109357,NASDAQ,USD,USA,UTILITIES,UTILITIES - REGULATED ELECTRIC,"10 SOUTH DEARBORN STREET, CHICAGO, IL, UNITED STATES, 60680-5379",https://www.exeloncorp.com,December,2025-09-30,46320857000,8031000000,16.47,2.081,27.83,1.58,0.0348,2.79,24.1,0.116,0.222,0.0285,0.103,24317000000,10283000000,2.79,0.229,0.09,49.88,1,7,9,2,0,16.47,16.03,1.905,1.63,3.874,10.54,0.553,48.09,34.68,45.63,44.41,1008290000,1008644000,0.120,90.004,2025-12-15,2025-11-10
EXE,Common Stock,Expand Energy Corporation,"Expand Energy Corporation (EXE) is a dynamic independent exploration and production company based in Oklahoma City, Oklahoma, specializing in the development of oil and natural gas resources across the United States. Committed to sustainable energy practices, EXE leverages advanced technologies to optimize production efficiency while strategically targeting high-potential reserves. The company prioritizes enhancing shareholder value through disciplined capital allocation and robust operational strategies, positioning itself as a key player in the domestic energy sector and fostering long-term growth and innovation.",895126,NASDAQ,USD,USA,ENERGY,OIL & GAS E&P,"6100 NORTH WESTERN AVENUE, OKLAHOMA CITY, OK, UNITED STATES, 73118",https://www.expandenergy.com,December,2025-09-30,28094497000,4530000000,37.71,1.7,76.21,3.19,0.027,3.11,45.73,0.0804,0.29,0.0507,0.0612,10779000000,4657000000,3.11,0,3.193,130.22,5,19,2,0,1,37.71,11.9,2.606,1.548,3.002,7.61,0.452,120.89,90.25,104.24,105.69,238170000,237193000,0.280,97.676,2025-12-04,2025-11-13
EXPE,Common Stock,Expedia Group Inc.,"Expedia Group, Inc. is a premier online travel shopping platform that operates a diverse portfolio of well-known brands, including Expedia.com, Vrbo, and Hotels.com, catering to consumers and small businesses alike. Utilizing cutting-edge technology, the company enhances user experience by providing personalized travel solutions and fare aggregation services. As a significant player in the global travel industry, Expedia Group is focused on innovation and strategic market expansion, positioning itself favorably to capitalize on the growing demand for digital travel services in an evolving landscape. Through its commitment to redefining the travel planning process, Expedia Group is set to shape the future of travel in an increasingly digital world.",1324424,NASDAQ,USD,USA,CONSUMER CYCLICAL,TRAVEL SERVICES,"1111 EXPEDIA GROUP WAY WEST, SEATTLE, WA, UNITED STATES, 98119",https://www.expediagroup.com,December,2025-09-30,32759069000,2179000000,25.52,0.756,10.87,1.2,0.0045,10.37,113.31,0.0966,0.256,0.0508,0.539,14370000000,12925000000,10.37,0.454,0.087,268.12,0,13,23,0,1,25.52,15.04,2.28,24.5,2.301,11.85,1.457,279.61,129.46,224.87,189.58,117009000,115442000,1.164,101.512,2025-12-11,2025-11-19
EXR,Common Stock,Extra Space Storage Inc,"Extra Space Storage Inc. (EXR), based in Cottonwood Heights, Utah, is a leading real estate investment trust (REIT) focused on the self-storage sector, operating over 2,200 facilities across the United States. The company is recognized for its strong commitment to customer satisfaction and operational excellence, utilizing cutting-edge technology to optimize management and service delivery. With a proven track record of growth and innovation, EXR aims to enhance shareholder value through strategic acquisitions and developments, positioning itself as a key player in the evolving storage solutions market. Its robust portfolio serves both residential and commercial clients, underscoring its role as a trusted provider in the self-storage industry.",1289490,NYSE,USD,USA,REAL ESTATE,REIT - INDUSTRIAL,"2795 EAST COTTONWOOD PARKWAY, SALT LAKE CITY, UT, UNITED STATES, 84121-7033",https://www.extraspace.com,December,2025-09-30,29237303000,2260354000,29.47,3.399,64.16,6.48,0.0491,4.51,16.15,0.277,0.463,0.0335,0.0679,3421973000,2563203000,4.51,-0.142,0.034,156.9,4,5,12,0,0,29.47,27.1,8.54,2.056,12.43,17.37,1.27,168.1,118.4,141.72,145.58,212248000,209669000,0.981,99.380,2025-09-30,2025-09-15
XOM,Common Stock,Exxon Mobil Corp,"Exxon Mobil Corporation, headquartered in Irving, Texas, is a premier multinational oil and gas company and the largest successor to the iconic Standard Oil. Established through the merger of Exxon and Mobil in 1999, it boasts a robust global presence with a comprehensive portfolio encompassing upstream exploration and production, downstream refining, and marketing, as well as a diverse array of petrochemical products. The company operates under renowned brands including Exxon, Mobil, and Esso, reinforcing its substantial market footprint. As a key contributor to the energy sector, ExxonMobil is committed to operational excellence and innovative strategies aimed at navigating the transition toward a more sustainable energy future.",34088,NYSE,USD,USA,ENERGY,OIL & GAS INTEGRATED,"22777 SPRINGWOODS VILLAGE PARKWAY, SPRING, TX, UNITED STATES, 77389-1425",https://corporate.exxonmobil.com,December,2025-09-30,503045915000,61694001000,17.26,2.802,61.79,3.96,0.0336,6.91,75.02,0.0918,0.111,0.0511,0.114,326244991000,101859000000,6.91,-0.083,-0.051,127.36,6,8,13,0,1,17.26,16.26,1.542,1.923,1.629,7.71,0.378,119.76,95.18,114.08,110.4,4217000000,4208099000,0.067,66.511,2025-12-10,2025-11-14
FFIV,Common Stock,F5 Networks Inc,"F5 Networks, Inc. (FFIV), headquartered in Seattle, Washington, stands at the forefront of application delivery networking solutions, delivering enhanced availability, performance, and security for applications across multi-cloud environments. The company's comprehensive offerings encompass application and network security, access management, and online fraud prevention, which are essential for protecting and optimizing mission-critical applications. Boasting a robust global presence and a commitment to continuous innovation, F5 empowers organizations to navigate the complexities of modern IT infrastructure while ensuring the security of their digital interactions. As enterprises increasingly prioritize digital transformation, F5 positions itself as a strategic partner in their journey towards secure and efficient application management.",1048695,NASDAQ,USD,USA,TECHNOLOGY,SOFTWARE - INFRASTRUCTURE,"801 5TH AVENUE, SEATTLE, WA, UNITED STATES, 98104",https://www.f5.com,September,2025-09-30,13780155000,884609000,20.24,1.881,62.27,None,None,11.56,53.33,0.224,0.272,0.083,0.206,3088072000,2514871000,11.56,0.163,0.085,291.5,1,1,10,0,1,20.24,16,4.462,3.836,4.101,14.33,0.988,346,227.04,300.9,291.95,57684000,57059000,0.673,102.077,None,None
FDS,Common Stock,FactSet Research Systems Inc,"FactSet Research Systems Inc. is a leading provider of integrated financial information and analytical applications, serving investment professionals and corporate clients globally from its headquarters in Norwalk, Connecticut. The company leverages advanced technology and comprehensive datasets to deliver actionable insights that enhance strategic investment decisions. With a strong focus on innovation, FactSet equips clients with sophisticated tools for financial modeling, reporting, and risk assessment, positioning itself as an essential collaborator in the dynamic landscape of the global financial markets.",1013237,NYSE,USD,USA,FINANCIAL SERVICES,FINANCIAL DATA & STOCK EXCHANGES,"45 GLOVER AVENUE, NORWALK, CT, UNITED STATES, 06850",https://www.factset.com,August,2025-08-31,10400497000,905994000,17.89,1.58,58.08,4.28,0.0154,15.31,61.22,0.257,0.297,0.112,0.291,2321748000,1223966000,15.31,0.728,0.062,335.94,1,2,11,5,1,17.89,15.95,4.48,4.757,4.998,12.01,0.748,493.14,250.5,292.9,396.35,37419900,37326400,0.410,97.877,2025-12-18,2025-11-28
FICO,Common Stock,Fair Isaac Corporation,"Fair Isaac Corporation (FICO), based in San Jose, California, is a premier provider of data analytics and software solutions, particularly in the financial services, healthcare, and telecommunications sectors. FICO leverages advanced analytics, machine learning, and risk management tools to enable organizations to enhance decision-making, mitigate risk, and improve operational efficiency. With an unwavering commitment to innovation, FICO's diverse portfolio of products facilitates intelligent business transformations, significantly improving customer engagement and addressing the dynamic requirements of its global customers. As a trusted partner in data-driven decision-making, FICO continues to set the standard for excellence in risk assessment and management across industries.",814547,NYSE,USD,USA,TECHNOLOGY,SOFTWARE - APPLICATION,"5 WEST MENDENHALL, BOZEMAN, MT, UNITED STATES, 59715",https://www.fico.com,September,2025-09-30,41286226000,950724000,65.37,1.738,-73.46,None,None,26.64,82.14,0.328,0.481,0.326,0.356,1990869000,1637147000,26.64,0.179,0.136,2016.44,5,10,4,1,0,65.37,44.05,20.74,82.33,22.17,46.39,1.296,2400,1300,1631.16,1714.2,23709000,23020500,2.604,94.751,2017-03-17,2017-03-01
FRT,Common Stock,Federal Realty Investment Trust,"Federal Realty Investment Trust (FRT) is a leading real estate investment trust (REIT) specializing in the ownership, operation, and development of premium retail and mixed-use properties, primarily located in top urban markets across the Northeastern and Mid-Atlantic regions, California, and South Florida. FRT’s portfolio comprises strategically positioned shopping centers that leverage extensive market insights and robust tenant partnerships to drive sustainable growth and increase shareholder value. The company demonstrates a commitment to long-term strategic investments that align with evolving consumer preferences, highlighting its resilience and adaptability in an ever-changing retail landscape.",34903,NYSE,USD,USA,REAL ESTATE,REIT - RETAIL,"909 ROSE AVENUE, NORTH BETHESDA, MD, UNITED STATES, 20852-4041",https://www.federalrealty.com,December,2025-09-30,8474210000,798544000,24.75,3.648,35.41,4.43,0.0454,3.92,14.7,0.276,0.345,0.0328,0.105,1257396000,854663000,3.92,-0.011,0.06,110.08,5,5,9,0,0,24.75,30.3,6.74,2.757,10.59,14.84,1.02,113.0,78.83,98.73,97.48,86270000,77959000,1.044,97.795,2026-01-15,2026-01-02
FDX,Common Stock,FedEx Corporation,"FedEx Corporation is a prominent American multinational logistics and delivery services provider based in Memphis, Tennessee, recognized for its extensive range of transportation, e-commerce, and supply chain solutions. Established to enhance global commerce, the company operates through various segments, including Express, Ground, Freight, and Trade Networks, which collectively support its vast international footprint. Focused on innovation, technological advancements, and sustainability initiatives, FedEx continually adapts to the evolving logistics landscape, reinforcing its status as a vital enabler of global trade. With a reputation for reliability and efficiency, FedEx is an essential partner for businesses seeking to optimize their supply chain operations.",1048911,NYSE,USD,USA,INDUSTRIALS,INTEGRATED FREIGHT & LOGISTICS,"942 SOUTH SHADY GROVE ROAD, MEMPHIS, TN, UNITED STATES, 38120",https://www.fedex.com,May,2025-08-31,63132242000,11120000000,15.67,1.191,117.67,5.66,0.0212,17.07,370.67,0.0465,0.0764,0.0488,0.15,88591000000,24315001000,17.07,-0.133,0.139,271.36,3,16,10,2,0,15.67,14.77,0.713,2.271,1.07,8.95,1.341,301.45,191.82,241.33,234.09,235955000,217938000,7.553,81.517,2025-10-01,2025-09-08
FITB,Common Stock,Fifth Third Bancorp,"Fifth Third Bancorp, based in Cincinnati, Ohio, is a prominent diversified bank holding company primarily operating through its wholly-owned subsidiary, Fifth Third Bank. Offering a comprehensive range of financial services including retail and commercial banking, wealth management, and investment solutions, the firm is a key competitor in the U.S. banking industry. Committed to innovation, community engagement, and sustainable growth, Fifth Third Bancorp continuously enhances customer experiences while strategically seeking expansion opportunities and partnerships to navigate the evolving financial landscape. With a robust branch network and a focus on customer-centric solutions, the company is well-positioned for future growth.",35527,NASDAQ,USD,USA,FINANCIAL SERVICES,BANKS - REGIONAL,"38 FOUNTAIN SQUARE PLAZA, CINCINNATI, OH, UNITED STATES, 45263",https://www.53.com,December,2025-09-30,28139270000,None,12.67,2.139,29.25,1.51,0.0356,3.36,12.11,0.297,0.398,0.0113,0.115,8125000000,8125000000,3.36,0.167,0.067,50.25,4,11,7,0,0,12.67,10.48,3.463,1.451,5.6,-,1.011,47.33,31.68,43.6,41.2,661012000,656834000,0.437,88.695,2025-10-15,2025-09-30
FSLR,Common Stock,First Solar Inc,"First Solar, Inc. is a preeminent player in the global solar photovoltaic (PV) market, headquartered in Tempe, Arizona. The company excels in the design, manufacture, and installation of advanced thin-film solar modules, with a broad operational footprint across key international markets including the United States, Japan, and Australia. As a leader in sustainability and innovation, First Solar is strategically aligned with the global shift towards renewable energy, focusing on reducing the levelized cost of solar energy and enhancing efficiency. Its commitment to advancing solar technology and environmental stewardship positions First Solar to effectively meet the escalating demand for clean energy solutions in a rapidly evolving industry.",1274494,NASDAQ,USD,USA,TECHNOLOGY,SOLAR,"350 WEST WASHINGTON STREET, TEMPE, AZ, UNITED STATES, 85288",https://www.firstsolar.com,December,2025-09-30,27534197000,2018719000,19.42,0.399,84.01,None,None,13.03,47.13,0.277,0.292,0.0756,0.169,5050625000,2022659000,13.03,0.457,0.797,269.64,9,20,4,1,0,19.42,11.25,5.45,3.054,5.22,12.98,1.59,281.55,116.56,232.81,177.05,107308000,101434000,5.485,109.405,None,None
FE,Common Stock,FirstEnergy Corporation,"FirstEnergy Corporation is a prominent electric utility holding company headquartered in Akron, Ohio, with a substantial footprint in electricity generation, transmission, and distribution across multiple states. The company serves millions of customers through its extensive network of subsidiaries, focusing on the delivery of reliable energy while prioritizing sustainability and grid resilience. FirstEnergy is dedicated to advancing energy management solutions and leveraging innovative technologies, positioning itself to adapt to the evolving energy landscape and contribute to a sustainable future.",1031296,NYSE,USD,USA,UTILITIES,UTILITIES - REGULATED ELECTRIC,"76 SOUTH MAIN STREET, AKRON, OH, UNITED STATES, 44308",https://www.firstenergycorp.com,December,2025-09-30,26537953000,4477000000,19.89,1.174,22.16,1.74,0.0381,2.31,24.77,0.0931,0.213,0.0325,0.112,14283000000,9648000000,2.31,0.045,0.112,50,3,4,9,0,0,19.89,16.78,1.858,2.063,3.626,11.4,0.652,47.73,36.45,45.55,42.29,577666000,547078000,0.166,94.149,2025-12-01,2025-11-07
FI,Common Stock,"Fiserv, Inc.","Fiserv, Inc. is a premier American financial technology company based in Milwaukee, Wisconsin, recognized for delivering a wide array of cutting-edge solutions in payment processing, risk management, and business analytics. Serving a diverse client base of banks, credit unions, and financial institutions globally, Fiserv is committed to enhancing digital banking experiences and operational efficiency. Through its innovative technology platform and strategic acquisitions, the company has firmly established itself as a leader within the dynamic fintech industry, driving transformative growth and value for its clients and shaping the future of financial services.",798354,NYSE,USD,USA,TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,"600 N. VEL R. PHILLIPS AVENUE, MILWAUKEE, WI, UNITED STATES, 53203",https://www.fiserv.com,December,2025-09-30,34314951000,9194000000,9.86,0.561,46.78,None,None,6.47,38.13,0.171,0.254,0.0477,0.135,21159999000,12797000000,6.47,0.49,0.009,100.16,6,7,21,1,0,9.86,7.6,1.622,1.382,3.031,7.06,0.794,238.59,60.95,113.0,165.47,537852000,533635000,0.731,90.434,2017-09-15,2017-08-29
F,Common Stock,Ford Motor Company,"Ford Motor Company, a historic leader in the automotive sector since 1903, is headquartered in Dearborn, Michigan, and continues to innovate with a diverse lineup that includes trucks, SUVs, and a growing portfolio of electric vehicles. As a front-runner in the transition toward electrification and digital connectivity, Ford is committed to sustainable practices that enhance mobility solutions. With a robust brand reputation and a focus on customer-centric design, the company is well-positioned for sustained growth and resilience in the rapidly evolving automotive market.",37996,NYSE,USD,USA,CONSUMER CYCLICAL,AUTO MANUFACTURERS,"ONE AMERICAN ROAD, DEARBORN, MI, UNITED STATES, 48126",https://www.ford.com,December,2025-09-30,52914139000,9708000000,11.37,15.59,11.89,0.6,0.0452,1.16,47.69,0.0248,0.0315,0.0083,0.103,189587997000,14323000000,1.16,1.727,0.094,12.27,2,2,16,2,0,11.37,9.35,0.279,1.117,0.924,14.23,1.612,13.81,8.11,12.29,10.9,3913646000,3877116000,0.294,64.673,2025-12-01,2025-11-07
FTNT,Common Stock,Fortinet Inc,"Fortinet Inc. (Nasdaq: FTNT) is a premier cybersecurity firm based in Sunnyvale, California, recognized for its state-of-the-art security solutions that safeguard data and networks against evolving cyber threats. The company's comprehensive product suite, which includes next-generation firewalls, antivirus software, intrusion prevention systems, and endpoint protection services, underscores its commitment to delivering exceptional threat intelligence and security architecture enhancements. Serving a diverse array of industries, Fortinet enables organizations to effectively manage risks and meet regulatory compliance, positioning itself as a leader in the rapidly expanding cybersecurity market. With its innovation-driven approach and focus on high-performance security, Fortinet is well-equipped to address the increasing global demand for reliable cybersecurity infrastructure.",1262039,NASDAQ,USD,USA,TECHNOLOGY,SOFTWARE - INFRASTRUCTURE,"909 KIFER ROAD, SUNNYVALE, CA, UNITED STATES, 94086",https://www.fortinet.com,December,2025-09-30,61209674000,2170700000,33.32,2.014,0.99,None,None,2.47,8.58,0.286,0.317,0.139,2.28,6554700000,5300500000,2.47,-0.114,0.144,88.25,4,8,29,2,0,33.32,27.78,9.34,81.97,8.87,24.04,1.094,114.82,70.12,83.63,95.02,743648000,625668000,17.378,71.969,None,None
FTV,Common Stock,Fortive Corp,"Fortive Corporation is a leading diversified industrial technology company based in Everett, Washington, specializing in innovative solutions across automation, sensing, and software sectors. With a robust portfolio that prioritizes productivity and efficiency through advanced data analytics, Fortive operates multiple strategic business segments to serve a diverse global customer base. The company's strategic focus on acquisitions and continuous product development not only enhances its competitive positioning but also supports its long-term growth objectives. Fortive is committed to empowering customers by driving workflow efficiencies and advancing industry standards, marking its role as a key player in the evolving technology landscape.",1659166,NYSE,USD,USA,TECHNOLOGY,SCIENTIFIC & TECHNICAL INSTRUMENTS,"6920 SEAWAY BOULEVARD, EVERETT, WA, UNITED STATES, 98203",https://www.fortive.com,December,2025-09-30,16503101000,1680900000,20.31,1.29,20.48,0.3,0.0058,2.54,18.46,0.0962,0.155,0.0483,0.104,6260300000,3739600000,2.54,-0.742,0.023,57.19,1,3,14,0,0,20.31,18.59,2.636,2.519,3.077,11.6,1.05,62.49,45.34,49.4,52.31,317612000,298873000,0.347,109.262,2025-12-26,2025-11-28
FOXA,Common Stock,Fox Corp Class A,"Fox Corporation (FOXA) is a prominent American mass media entity headquartered in New York City, specializing in the production and distribution of compelling news, sports, and entertainment content across multiple platforms. Operating under renowned brands such as Fox News, Fox Sports, and Fox Television Stations, the company effectively leverages its expansive reach to engage a broad and diverse audience. With a strategic focus on innovative content creation and high-caliber programming, Fox Corp is well-positioned to navigate the evolving media landscape, driving growth through both advertising and subscription revenue while capitalizing on emerging trends in digital viewership and engagement.",1754301,NASDAQ,USD,USA,COMMUNICATION SERVICES,ENTERTAINMENT,"1211 AVENUE OF THE AMERICAS, NEW YORK, NY, UNITED STATES, 10036",https://www.foxcorporation.com,June,2025-09-30,27522689000,3562000000,14.7,1.156,27.45,0.55,0.0084,4.41,36.49,0.123,0.263,0.0873,0.173,16474000000,5890000000,4.41,-0.258,0.049,71.53,0,10,10,0,0,14.7,14.77,1.671,2.38,1.858,8.65,0.512,67.22,44.4,61.1,56.18,208362000,302560000,1.278,114.238,2025-09-24,2025-09-03
FOX,Common Stock,Fox Corp Class B,"Fox Corporation (FOX) is a leading American mass media company based in New York City, known for its strong portfolio of influential brands including FOX News, FOX Sports, and FOX Entertainment. The company excels in delivering diverse news, sports, and entertainment content to millions of viewers across multiple platforms, leveraging its extensive distribution network. With a focus on high-quality content and a commitment to innovation, Fox Corporation is strategically positioned to capture advertising revenue and navigate the evolving landscape of digital media, thereby driving sustained growth in a competitive industry.",1754301,NASDAQ,USD,USA,COMMUNICATION SERVICES,ENTERTAINMENT,"1211 AVENUE OF THE AMERICAS, NEW YORK, NY, UNITED STATES, 10036",https://www.foxcorporation.com,June,2025-09-30,27513276000,3562000000,13.23,1.079,27.45,0.55,0.0093,4.42,36.49,0.123,0.263,0.0873,0.173,16474000000,5890000000,4.42,-0.258,0.049,51.5,-,-,-,-,-,13.23,13.32,1.67,2.144,1.858,8.65,0.512,60.73,41.77,55.01,51.55,235581000,302560000,36.970,60.512,2025-09-24,2025-09-03
