Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate,ticker,ingest_timestamp
JCI,Common Stock,Johnson Controls International PLC,"Johnson Controls International PLC, headquartered in Cork, Ireland, is a leading global provider of innovative building efficiency solutions, specializing in fire, HVAC, and security technologies. The company is dedicated to sustainability, employing its extensive industry expertise to enhance operational effectiveness across various sectors and contribute to creating safer, smarter, and more sustainable environments. As the demand for energy-efficient and integrated building management solutions continues to rise, Johnson Controls is well-positioned to capture significant growth opportunities on a global scale, solidifying its role as a key player in the smart building and sustainability market.",833444,NYSE,USD,USA,INDUSTRIALS,BUILDING PRODUCTS & EQUIPMENT,"ONE ALBERT QUAY, CORK, IRELAND, T12 X8N6",https://www.johnsoncontrols.com,September,2025-09-30,78657135000,3693000000,44.97,1.487,20.49,0,0,2.64,36.2,0.14,0.129,0.0438,0.114,23595999000,8592000000,2.64,1.826,0.031,129.11,2,9,10,0,0,44.97,26.11,3.333,6.01,3.695,27.65,1.418,123.78,67.53,111.14,98.46,654385000,628340000,0.233,90.680,2025-10-17,2025-09-22,JCI,2025-11-16 07:52:18.267059
JPM,Common Stock,JPMorgan Chase & Co,"JPMorgan Chase & Co. is a premier American multinational investment bank and financial services holding company, headquartered in New York City, and is regarded as one of the Big Four banks in the U.S. As a Bulge Bracket firm, it delivers an extensive range of services, including investment banking, asset management, private banking, and treasury services, capitalizing on its distinguished J.P. Morgan brand. With a strong global footprint and a focus on innovative financial solutions, JPMorgan Chase is strategically positioned to cater to the complex needs of institutional investors, all while upholding its dedication to regulatory compliance and proactive risk management.",19617,NYSE,USD,USA,FINANCIAL SERVICES,BANKS - DIVERSIFIED,"270 PARK AVENUE, NEW YORK, NY, UNITED STATES, 10017",https://www.jpmorganchase.com,December,2025-09-30,842485727000,None,15.04,2.623,124.96,5.55,0.0179,20.19,59.68,0.347,0.437,0.0132,0.164,167228998000,167228998000,20.19,0.16,0.088,327.7,5,9,8,2,1,15.04,14.43,5.04,2.43,6.12,-,1.076,322.25,200.22,307.53,277.18,2722262000,2707889000,0.466,74.101,2025-10-31,2025-10-06,JPM,2025-11-16 07:52:18.820633
K,Common Stock,Kellanova,"Kellanova, previously the Kellogg Company, is a prominent American multinational food manufacturer based in Battle Creek, Michigan, recognized for its extensive portfolio of iconic brands in breakfast cereals, snacks, and convenience foods. Committed to meeting evolving consumer demands for nutritious and convenient options, the company emphasizes innovation and sustainability as cornerstones of its growth strategy. As it navigates the complexities of the global food industry, Kellanova is poised to capitalize on emerging market trends and enhance shareholder value through its adaptive business model.",55067,NYSE,USD,USA,CONSUMER DEFENSIVE,PACKAGED FOODS,"412 NORTH WELLS STREET, CHICAGO, IL, UNITED STATES, 60654",https://www.kellanova.com,December,2025-09-30,28989747000,2291000000,22.77,3.621,12.08,2.29,0.0275,3.66,36.58,0.101,0.15,0.0764,0.321,12670000000,4461000000,3.66,-0.162,0.008,83.39,0,0,16,0,0,22.77,21.37,2.288,6.9,2.759,15.57,0.251,83.45,76.48,81.58,81.37,347933000,342975000,0.515,87.846,2025-12-15,2025-12-01,K,2025-11-16 07:52:19.384877
KVUE,Common Stock,Kenvue Inc.,"Kenvue Inc. is a leading entity in the consumer health sector, delivering a diverse range of over-the-counter and personal care products that promote well-being. With a robust portfolio of trusted brands, the company emphasizes innovation and sustainability to drive growth in an increasingly health-conscious market. Leveraging its extensive global presence and insightful consumer data, Kenvue is poised to seize emerging health trends, presenting a compelling investment opportunity for institutional investors seeking diversification within the healthcare landscape.",1944048,NYSE,USD,USA,CONSUMER DEFENSIVE,HOUSEHOLD & PERSONAL PRODUCTS,"1 KENVUE WAY, SUMMIT, NJ, UNITED STATES, 07901",https://www.kenvue.com,December,2025-09-30,32128004000,3541000000,22.21,0.851,5.55,0.823,0.0491,0.75,7.83,0.0955,0.193,0.0686,0.135,15006000000,8753000000,0.75,0.038,-0.035,19.33,1,4,12,0,0,22.21,15.15,2.141,3.001,2.658,13.68,0.658,24.41,13.85,16.42,20.82,1915802000,1912814000,0.044,99.045,2025-11-26,2025-11-12,KVUE,2025-11-16 07:52:19.939554
KDP,Common Stock,Keurig Dr Pepper Inc,"Keurig Dr Pepper Inc. (KDP) is a leading beverage company based in Burlington, Massachusetts, renowned for its expansive and diversified brand portfolio, which includes coffee, soft drinks, and flavored waters. With a strong foothold in both domestic and international markets, KDP leverages innovative product development and robust distribution strategies to drive growth. The company's dedication to sustainability and responsiveness to changing consumer trends further enhance its market position, making KDP a compelling investment opportunity for institutional investors attentive to the evolving landscape of the beverage sector.",1418135,NASDAQ,USD,USA,CONSUMER DEFENSIVE,BEVERAGES - NON-ALCOHOLIC,"53 SOUTH AVENUE, BURLINGTON, MA, UNITED STATES, 01803",https://www.keurigdrpepper.com,December,2025-09-30,36858360000,4299000000,23.39,0.667,18.64,0.92,0.0341,1.16,11.91,0.0978,0.231,0.0415,0.0629,16174000000,8857000000,1.16,0.083,0.107,35.44,4,9,5,0,0,23.39,12.41,2.279,1.456,3.332,15.07,0.362,35.62,25.03,26.77,31.7,1358583000,1210144000,4.965,93.763,2025-10-10,2025-09-26,KDP,2025-11-16 07:52:20.488054
KEY,Common Stock,KeyCorp,"KeyCorp, through its primary subsidiary KeyBank, is a leading regional financial institution headquartered in Cleveland, Ohio. The bank delivers a broad spectrum of services, including retail and commercial banking, wealth management, and investment solutions, emphasizing customer-centric innovation and community engagement. With a strategic footprint across vital markets in the U.S., KeyCorp is well-positioned to serve the diverse needs of both individual and business clients, reinforcing its competitive edge in the financial services landscape.",91576,NYSE,USD,USA,FINANCIAL SERVICES,BANKS - REGIONAL,"127 PUBLIC SQUARE, CLEVELAND, OH, UNITED STATES, 44114-1306",https://www.key.com,December,2025-09-30,19257244000,None,21.75,0.665,15.82,0.82,0.0465,0.81,5.54,0.181,0.338,0.0057,0.0582,5934000000,5934000000,0.81,0.401,2.026,21.51,3,8,12,0,0,21.75,9.9,3.245,1.094,5.54,-,1.106,19.41,12.42,18.15,17.09,1092920000,1087936000,0.280,92.506,2025-09-15,2025-09-02,KEY,2025-11-16 07:52:21.044003
KEYS,Common Stock,Keysight Technologies Inc,"Keysight Technologies Inc. is a premier American company specializing in electronic test and measurement solutions, catering to diverse sectors including communications, aerospace, defense, automotive, and semiconductor manufacturing. Renowned for its commitment to innovation, Keysight offers an extensive suite of software and hardware tools designed to facilitate the design and validation of next-generation technologies, particularly in 5G, IoT, and cloud computing. The company's exceptional portfolio enhances product quality and underpins critical research and development efforts globally, positioning Keysight as an essential partner in the continuous evolution of the electronics industry.",1601046,NYSE,USD,USA,TECHNOLOGY,SCIENTIFIC & TECHNICAL INSTRUMENTS,"1400 FOUNTAINGROVE PARKWAY, SANTA ROSA, CA, UNITED STATES, 95403-1738",https://www.keysight.com,October,2025-07-31,30772580000,1193000000,56.84,1.123,32.99,None,None,3.15,30.39,0.104,0.181,0.0578,0.0998,5243000000,3270000000,3.15,-0.505,0.111,193.43,2,6,3,0,1,56.84,22.47,5.87,5.43,5.89,22.59,1.203,187.67,121.43,173.18,162.82,171856000,170748000,0.583,92.079,None,None,KEYS,2025-11-16 07:52:21.599743
KMB,Common Stock,Kimberly-Clark Corporation,"Kimberly-Clark Corporation is a leading global personal care company, headquartered in the United States, with an impressive portfolio of trusted brands including Huggies, Kleenex, and Kotex. The company is committed to innovation and sustainability, adeptly adapting to evolving consumer preferences while maintaining high operational efficiency. With a robust distribution network and a solid presence in both mature and emerging markets, Kimberly-Clark is well-positioned for long-term growth. Its unwavering focus on quality and customer satisfaction reinforces its status as a dominant player in the competitive consumer goods landscape.",55785,NYSE,USD,USA,CONSUMER DEFENSIVE,HOUSEHOLD & PERSONAL PRODUCTS,"PO BOX 619100, DALLAS, TX, UNITED STATES, 75261-9100",https://www.kimberly-clark.com,December,2025-09-30,34662609000,3910000000,17.6,7.13,4.014,5,0.0479,5.91,59.4,0.0998,0.167,0.113,1.369,19723999000,7031000000,5.91,-0.502,0.001,128.62,3,4,12,1,0,17.6,13.55,1.757,25.91,2.089,11.54,0.252,147.59,99.22,118.57,130.66,331858000,330597000,0.188,84.197,2025-10-02,2025-09-05,KMB,2025-11-16 07:52:22.153015
KIM,Common Stock,Kimco Realty Corporation,"Kimco Realty Corporation (KIM) is a leading real estate investment trust (REIT) focused on the ownership and management of open-air shopping centers across key markets in the United States. With a commitment to tenant diversity and community engagement, Kimco effectively leverages its extensive market knowledge and operational proficiency to enhance property performance. The company’s strategic initiatives aim to capitalize on evolving retail trends, offering institutional investors a compelling opportunity for value creation in the retail real estate landscape.",879101,NYSE,USD,USA,REAL ESTATE,REIT - RETAIL,"500 NORTH BROADWAY, JERICHO, NY, UNITED STATES, 11753-2128",https://www.kimcorealty.com,December,2025-09-30,13835075000,1299628000,24.6,3.369,15.48,1,0.0489,0.83,3.145,0.282,0.343,0.022,0.0567,2123057000,1465453000,0.83,0.002,0.056,24.36,3,7,15,0,0,24.6,26.53,6.52,1.319,10.37,15.47,1.064,24.7,17.52,21.51,21.3,677194000,661349000,2.155,98.442,2025-12-19,2025-12-05,KIM,2025-11-16 07:52:22.711742
KMI,Common Stock,Kinder Morgan Inc,"Kinder Morgan, Inc. is a leading energy infrastructure company in North America, focusing on the ownership and operation of an extensive network of oil and gas pipelines and storage terminals. With a strong emphasis on safety and environmental sustainability, the company plays a vital role in the efficient transportation and storage of energy resources, connecting producers with consumers across various regions. As the energy industry shifts toward cleaner solutions, Kinder Morgan is strategically positioned to leverage increasing demand for reliable infrastructure, underlining its importance within the dynamic energy sector.",1506307,NYSE,USD,USA,ENERGY,OIL & GAS MIDSTREAM,"1001 LOUISIANA STREET, HOUSTON, TX, UNITED STATES, 77002",https://www.kindermorgan.com,December,2025-09-30,61002928000,6861000000,22.48,2.237,13.82,1.165,0.0433,1.22,7.39,0.166,0.256,0.0393,0.0888,16416000000,8064000000,1.22,0.003,0.121,31.15,2,10,9,0,0,22.48,19.23,3.716,1.984,5.69,13.54,0.671,30.15,23.17,27.19,27.29,2224760000,1939924000,12.777,69.077,2025-11-17,2025-11-03,KMI,2025-11-16 07:52:23.268481
KKR,Common Stock,KKR & Co LP,None,1404912,NYSE,USD,USA,FINANCIAL SERVICES,ASSET MANAGEMENT,"30 HUDSON YARDS, NEW YORK, NY, UNITED STATES, 10001",https://www.kkr.com,December,2025-09-30,111805080000,None,50.6,0.489,30.54,0.73,0.006,2.37,25.01,0.106,0.31,0.0139,0.0767,22245685000,12897488000,2.37,0.406,0.132,157.14,6,12,3,0,0,50.6,17.42,5.03,3.929,1.782,3.208,1.999,169.7,85.9,128.27,128.3,891353000,684149000,23.592,62.242,2025-12-02,2025-11-17,KKR,2025-11-16 07:52:23.823789
KLAC,Common Stock,KLA-Tencor Corporation,"KLA Corporation is a leading capital equipment provider headquartered in Milpitas, California, specializing in advanced process control and yield management solutions for the semiconductor and nanoelectronics industries. The company offers a comprehensive suite of products and services that enhance efficiency across all stages of semiconductor manufacturing, from research and development to high-volume production. With a strong emphasis on innovation and technology leadership, KLA plays a critical role in helping clients optimize yield and accelerate the development of next-generation semiconductor technologies. This commitment to excellence solidifies KLA's position as a vital partner in the rapidly evolving semiconductor landscape.",319201,NASDAQ,USD,USA,TECHNOLOGY,SEMICONDUCTOR EQUIPMENT & MATERIALS,"ONE TECHNOLOGY DRIVE, MILPITAS, CA, UNITED STATES, 95035",https://www.kla.com,June,2025-09-30,152641094000,5626762000,35.59,2.143,37.91,7.2,0.0062,31.87,94.57,0.338,0.417,0.204,0.992,12524317000,7676811000,31.87,0.208,0.13,1287.27,4,8,15,0,1,35.59,31.15,12.19,29.9,12.01,27.05,1.433,1284.47,548.81,1100.73,869.1,131392000,131065000,0.099,94.494,2025-12-02,2025-11-17,KLAC,2025-11-16 07:52:24.377211
KHC,Common Stock,Kraft Heinz Co,"The Kraft Heinz Company (KHC) stands as a leading player in the global food and beverage sector, formed through the strategic merger of Kraft Foods and Heinz. Headquartered in both Chicago, Illinois, and Pittsburgh, Pennsylvania, the company boasts a diverse portfolio of iconic brands, including Kraft, Heinz, Oscar Mayer, and Philadelphia. With a steadfast commitment to innovation, sustainability, and quality enhancement, Kraft Heinz is adept at responding to changing consumer preferences, positioning itself effectively within a competitive market. The company's focus on operational efficiency and product excellence enables it to drive growth and capitalize on emerging trends in the food industry.",1637459,NASDAQ,USD,USA,CONSUMER DEFENSIVE,PACKAGED FOODS,"ONE PPG PLACE, PITTSBURGH, PA, UNITED STATES, 15222",https://www.kraftheinzcompany.com,December,2025-09-30,29544045000,6006000000,None,0.996,35.01,1.6,0.0641,-3.71,21.11,-0.173,0.176,0.0371,-0.0969,25163999000,8489000000,-3.71,-0.106,-0.023,27.13,0,1,18,0,1,-,9.56,1.174,0.71,1.887,13.07,0.076,32.38,23.7,25.47,27.61,1183656000,851735000,27.850,60.287,2025-12-26,2025-11-28,KHC,2025-11-16 07:52:24.934245
KR,Common Stock,Kroger Company,"The Kroger Company, founded in 1883 and based in Cincinnati, Ohio, is a prominent player in the U.S. grocery sector, managing an extensive portfolio of supermarkets and multi-department stores. Renowned for its strong commitment to customer satisfaction, Kroger offers a wide array of private-label products while prioritizing sustainability initiatives and community involvement. The company's robust economies of scale and innovative distribution systems enhance its competitive advantage, positioning Kroger for sustained growth and the enhancement of shareholder value amidst a dynamic retail environment.",56873,NYSE,USD,USA,CONSUMER DEFENSIVE,GROCERY STORES,"1014 VINE STREET, CINCINNATI, OH, UNITED STATES, 45202-1100",https://www.thekrogerco.com,January,2025-07-31,44207264000,8026000000,16.93,1.45,12.34,1.31,0.02,3.94,214.75,0.0186,0.0289,0.0553,0.251,147000001000,35155001000,3.94,0.422,0.001,76.05,0,11,14,0,0,16.93,12.84,0.301,4.763,0.431,7.98,0.581,74.13,55.94,66.54,68.01,662678000,740370000,8.371,77.658,2025-12-01,2025-11-14,KR,2025-11-16 07:52:25.487417
LHX,Common Stock,L3Harris Technologies Inc,"L3Harris Technologies Inc. (LHX) is a leader in the defense and aerospace sectors, renowned for its innovative communication and electronic systems that enhance national security and operational effectiveness. With a comprehensive portfolio that includes advanced capabilities in C6ISR, tactical communications, and next-gen avionics, the company is uniquely positioned to respond to the complex demands of modern warfare and commercial applications. L3Harris's commitment to innovation and operational excellence allows it to deliver cutting-edge solutions to both government and commercial clients, ensuring its pivotal role in a rapidly evolving geopolitical landscape. As a result, L3Harris continues to drive advancements that not only streamline operations but also protect national interests around the globe.",202058,NYSE,USD,USA,INDUSTRIALS,AEROSPACE & DEFENSE,"1025 WEST NASA BOULEVARD, MELBOURNE, FL, UNITED STATES, 32919",https://www.l3harris.com,December,2025-09-30,54131225000,4077000000,31.15,0.548,104.36,4.76,0.0165,9.29,115.5,0.0809,0.129,0.0428,0.0913,21739999000,5576000000,9.29,0.171,0.069,336.61,1,13,6,0,0,31.15,23.36,2.49,2.771,3.014,16.84,0.652,308.12,190.25,290.19,249.65,187053000,186241000,0.336,89.389,2025-12-05,2025-11-17,LHX,2025-11-16 07:52:26.039285
LH,Common Stock,Laboratory Corporation of America Holdings,"Laboratory Corporation of America Holdings (Labcorp), headquartered in Burlington, North Carolina, is a leading global life sciences company that provides comprehensive laboratory services and solutions essential for healthcare advancement. With a robust network of 36 clinical laboratories across the United States, Labcorp delivers a wide array of diagnostic testing and drug development services, playing a pivotal role in enhancing patient care. By harnessing cutting-edge technology and sophisticated data analytics, the company is at the forefront of personalized medicine, positioning itself as an indispensable partner in improving health outcomes worldwide.",920148,NYSE,USD,USA,HEALTHCARE,DIAGNOSTICS & RESEARCH,"531 SOUTH SPRING STREET, BURLINGTON, NC, UNITED STATES, 27215",https://www.labcorp.com,December,2025-09-30,22206423000,1963500000,26.17,1.955,104.78,2.88,0.0108,10.2,164.95,0.0621,0.113,0.0463,0.101,13765300000,3915600000,10.2,0.56,0.086,299.53,2,12,5,0,0,26.17,15.06,1.613,2.544,2.038,13.95,0.966,293.72,208.23,273.29,255.97,82900000,82469000,0.321,98.162,2025-12-11,2025-11-26,LH,2025-11-16 07:52:26.591763
LRCX,Common Stock,Lam Research Corp,"Lam Research Corporation (LRCX) stands as a leading provider of semiconductor processing equipment, specializing in the design, manufacturing, and servicing of critical systems for integrated circuit fabrication. The company's innovative technologies are pivotal in front-end wafer processing and extend to back-end packaging and microelectromechanical systems (MEMS), supporting the production of essential components like transistors and capacitors. Headquartered in Fremont, California, Lam Research is strategically positioned to capitalize on the surging global demand for advanced semiconductor solutions, thus reinforcing its critical role in the evolving high-tech sector.",707549,NASDAQ,USD,USA,TECHNOLOGY,SEMICONDUCTOR EQUIPMENT & MATERIALS,"4650 CUSHING PARKWAY, FREMONT, CA, UNITED STATES, 94538",https://www.lamresearch.com,June,2025-09-30,192574505000,6859485000,32.66,1.855,8.1,0.95,0.0062,4.54,15.34,0.297,0.344,0.195,0.623,19591789000,9661255000,4.54,0.443,0.277,158.52,2,21,10,0,1,32.66,30.49,9.83,18.27,9.39,25.94,1.779,167.15,56.07,140.75,99.53,1256030000,1251345000,0.279,88.397,2026-01-07,2025-12-03,LRCX,2025-11-16 07:52:27.143374
LW,Common Stock,Lamb Weston Holdings Inc,"Lamb Weston Holdings, Inc. is a leading global food processing company headquartered in Eagle, Idaho, recognized as one of the largest producers of frozen potato products, including french fries. Serving a diverse range of customers, from restaurants to retailers and food service operators, the company operates across more than 100 countries, supported by a robust distribution network. With a strong commitment to innovation, sustainability, and quality, Lamb Weston is adept at navigating the evolving food industry, thereby enhancing its role in the agricultural supply chain and delivering substantial growth and value to its shareholders.",1679273,NYSE,USD,USA,CONSUMER DEFENSIVE,PACKAGED FOODS,"599 SOUTH RIVERSHORE LANE, EAGLE, ID, UNITED STATES, 83616",https://www.lambweston.com,May,2025-08-31,8058754000,1239800000,27.41,0.859,12.85,1.47,0.0254,2.08,45.73,0.0456,0.114,0.0705,0.162,6456500000,1460300000,2.08,-0.477,0.003,66,3,2,6,0,0,27.41,18.05,1.248,4.439,1.833,11.58,0.426,81.86,46.97,60.61,55.64,139352000,138412000,2.504,92.980,2025-11-28,2025-10-31,LW,2025-11-16 07:52:27.695174
LVS,Common Stock,Las Vegas Sands Corp,"Las Vegas Sands Corp (LVS) is a premier global operator of integrated resorts, celebrated for its luxurious casinos, prestigious hotels, and diverse entertainment options, particularly in high-demand markets such as Macau and Singapore. Headquartered in Paradise, Nevada, the company is well-positioned to leverage the rebound in tourism and luxury spending, solidifying its influential presence within the hospitality and gaming sectors. With a strong commitment to sustainability and community involvement, LVS presents an attractive investment opportunity for institutional investors focused on responsible growth in an evolving market environment.",1300514,NYSE,USD,USA,CONSUMER CYCLICAL,RESORTS & CASINOS,"5420 S. DURANGO DR., LAS VEGAS, NV, UNITED STATES, 89113",https://www.sands.com,December,2025-09-30,44354421000,4255000000,29.45,0.888,2.317,1,0.0152,2.22,17.47,0.127,0.236,0.0815,0.656,12263999000,9788000000,2.22,0.619,0.242,65.34,2,12,5,0,0,29.45,19.38,3.617,28.14,4.617,12.93,0.982,67.83,29.72,55.51,47.08,676134000,310938000,57.259,42.479,2025-11-12,2025-11-04,LVS,2025-11-16 07:52:28.248532
LDOS,Common Stock,Leidos Holdings Inc,"Leidos Holdings Inc. (LDOS) is a prominent diversified company based in Reston, Virginia, specializing in advanced solutions across defense, aviation, information technology, and biomedical research sectors. With a rich heritage stemming from its roots in Science Applications International Corporation (SAIC), Leidos provides an extensive range of scientific, engineering, and technical services that serve both governmental and commercial clients around the globe. The company's strong emphasis on innovation and technology not only facilitates modernization initiatives but also significantly enhances operational effectiveness for its customers, establishing Leidos as a vital partner in supporting critical missions across various domains.",1336920,NYSE,USD,USA,TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,"1750 PRESIDENTS STREET, RESTON, VA, UNITED STATES, 20190",https://www.leidos.com,December,2025-09-30,24472758000,2335000000,17.86,2.34,38.4,1.6,0.0084,10.72,133.84,0.0811,0.12,0.0949,0.293,17332001000,3053000000,10.72,0.052,0.067,218.08,2,6,6,0,0,17.86,15.55,1.412,4.985,1.657,12.22,0.589,205.77,122.65,189.38,160.87,127855000,126561000,0.668,80.952,2025-12-31,2025-12-15,LDOS,2025-11-16 07:52:28.802042
LEN,Common Stock,Lennar Corporation,"Lennar Corporation (LEN) is a premier home construction and real estate development firm based in Fontainebleau, Florida, recognized as one of the largest homebuilders in the United States. The company specializes in designing, constructing, and selling residential homes across a diverse range of buyer segments, including first-time, move-up, and active adult purchasers. Lennar places a strong emphasis on innovation and sustainability, utilizing advanced building techniques and energy-efficient practices to enhance the living experience. In addition to its core homebuilding operations, Lennar also engages in multifamily rental development and land acquisition, establishing itself as a versatile and comprehensive participant in the dynamic housing market. With a robust strategic approach, Lennar is well-positioned to capitalize on opportunities and deliver sustainable value to its investors.",920760,NYSE,USD,USA,CONSUMER CYCLICAL,RESIDENTIAL CONSTRUCTION,"5505 WATERFORD DISTRICT DRIVE, MIAMI, FL, UNITED STATES, 33126",https://www.lennar.com,November,2025-08-31,30690494000,3651229000,11.98,2.212,88.5,2,0.0165,10.11,132.96,0.0772,0.0797,0.059,0.108,34766213000,6777274000,10.11,-0.462,-0.064,127.5,2,3,13,0,1,11.98,13.16,0.883,1.368,0.987,9.54,1.407,157.99,97.13,126.36,118.62,223804000,221569000,5.110,95.949,2025-10-27,2025-10-10,LEN,2025-11-16 07:52:29.359120
LII,Common Stock,Lennox International Inc,"Lennox International Inc. (LII) is a leading player in the climate control industry, specializing in advanced heating, ventilation, air conditioning, and refrigeration (HVACR) solutions. Based in Richardson, Texas, the company serves a diverse clientele across North America and internationally, focusing on energy efficiency and sustainable innovations. With a solid commitment to quality, performance, and environmentally friendly technologies, Lennox is strategically positioned to benefit from the expanding market demand for eco-conscious systems. This makes LII an attractive investment prospect for institutional investors looking to capitalize on trends in sustainability and climate resilience.",1069202,NYSE,USD,USA,INDUSTRIALS,BUILDING PRODUCTS & EQUIPMENT,"2140 LAKE PARK BOULEVARD, RICHARDSON, TX, UNITED STATES, 75080",https://www.lennox.com,December,2025-09-30,16717792000,1160700000,19.92,1.433,30.51,4.9,0.0103,23.67,151.1,0.157,0.213,0.193,0.922,5345300000,1774900000,23.67,0.045,-0.048,572.93,1,5,10,2,1,19.92,18.25,3.128,15.45,3.339,15.23,1.158,687.72,466.88,522.14,566.21,35072800,31719100,10.438,82.387,2025-10-15,2025-09-30,LII,2025-11-16 07:52:29.911451
LLY,Common Stock,Eli Lilly and Company,"Eli Lilly and Company (Ticker: LLY), based in Indianapolis, Indiana, is a leading global pharmaceutical firm renowned for its innovative contributions to healthcare. Specializing in critical therapeutic areas including diabetes, oncology, and neurodegenerative diseases, the company operates in around 125 countries, continually striving to enhance patient outcomes through substantial investments in research and development. With a strategic emphasis on sustainable growth, robust product pipeline advancements, and strategic partnerships, Lilly fortifies its status as a key player in the pharmaceutical industry, committed to advancing modern medicine while driving shareholder value.",59478,NYSE,USD,USA,HEALTHCARE,DRUG MANUFACTURERS - GENERAL,"LILLY CORPORATE CENTER, INDIANAPOLIS, IN, UNITED STATES, 46285",https://www.lilly.com,December,2025-09-30,917644837000,28728601000,50.26,0.964,26.56,5.8,0.0057,20.4,66.15,0.31,0.483,0.176,0.965,59419800000,49335702000,20.4,4.804,0.539,1003.15,3,17,8,0,1,50.26,32.26,15.44,38.57,15.99,37.56,0.389,1033.62,621.5,827.04,798.1,895019000,893109000,0.164,83.157,2025-12-10,2025-11-14,LLY,2025-11-16 07:52:30.469340
LIN,Common Stock,Linde plc Ordinary Shares,"Linde plc is a leading multinational industrial gas and engineering company, renowned as the largest supplier in its industry by market share and revenue. Serving diverse sectors such as healthcare, manufacturing, aerospace, and energy, Linde specializes in the production of atmospheric and process gases, including oxygen, nitrogen, and hydrogen. The company is dedicated to driving innovation and sustainability, offering advanced solutions that not only enhance operational efficiency but also facilitate the transition to a low-carbon economy. Through its commitment to environmental stewardship and technological advancement, Linde is positioned at the forefront of transforming global industries.",1707925,NASDAQ,USD,USA,BASIC MATERIALS,SPECIALTY CHEMICALS,"FORGE, 43 CHURCH STREET WEST, WOKING, UNITED KINGDOM, GU21 6HT",https://www.linde.com,December,2025-09-30,200153006000,13150000000,28.32,1.919,82.7,5.89,0.0137,14.95,70.99,0.212,0.279,0.0699,0.18,33504000000,16342000000,14.95,0.27,0.031,505.61,5,15,4,1,0,28.32,23.58,5.97,5.12,6.54,16.41,0.857,484.83,406.06,454.26,460.32,466949000,465259000,0.264,87.697,2025-12-17,2025-12-03,LIN,2025-11-16 07:52:31.036696
LYV,Common Stock,Live Nation Entertainment Inc,"Live Nation Entertainment, Inc. (LYV) is a leading global entertainment company specializing in live event promotion, ticketing solutions, and venue management. Established in 2010 through the merger of Live Nation and Ticketmaster, the company has built a robust portfolio of concerts and events, effectively connecting artists with fans worldwide. With a strong focus on enhancing the live experience and leveraging innovative technology, Live Nation remains a pivotal player in the entertainment industry, positioning itself for sustained growth and adaptation in an evolving market landscape.",1335258,NYSE,USD,USA,COMMUNICATION SERVICES,ENTERTAINMENT,"9348 CIVIC CENTER DRIVE, BEVERLY HILLS, CA, UNITED STATES, 90210",https://www.livenationentertainment.com,December,2025-09-30,31770870000,2180763000,97.74,8.25,2.266,None,None,1.39,106.15,0.0366,0.0915,0.0459,0.564,24569494000,6177684000,1.39,-0.561,0.111,170.2,2,15,2,1,1,97.74,94.34,1.293,60.51,1.391,18.56,1.21,175.25,112.88,155.78,146.11,232209000,156140000,32.689,94.385,None,None,LYV,2025-11-16 07:52:31.589273
LKQ,Common Stock,LKQ Corporation,"LKQ Corporation is a leading provider of alternative and specialty automotive parts, delivering sustainable solutions for vehicle repair and customization across the United States and Europe. The company excels in offering high-quality recycled and refurbished components, enhancing both cost efficiency and environmental sustainability in the automotive aftermarket. With a strategic focus on expansion through acquisitions and innovation, LKQ is well-positioned to leverage growth opportunities in this dynamic sector, where operational excellence and superior customer service are paramount. As the automotive landscape increasingly shifts towards eco-friendly practices, LKQ's commitment to sustainability supports its status as a critical player in the industry.",1065696,NASDAQ,USD,USA,CONSUMER CYCLICAL,AUTO PARTS,"5846 CROSSINGS BOULEVARD, ANTIOCH, TN, UNITED STATES, 37013",https://www.lkqcorp.com,December,2025-09-30,8023221000,1640000000,11.31,1.058,25.57,1.2,0.0383,2.7,54.53,0.0494,0.0823,0.0491,0.109,14097000000,5506000000,2.7,-0.038,0.013,41.5,3,3,1,0,0,11.31,9.17,0.569,1.193,0.925,8.14,0.89,43.77,28.41,30.73,36.23,255966000,253847000,0.455,106.776,2025-12-04,2025-11-20,LKQ,2025-11-16 07:54:47.429479
